area,average_price,community,decoration,direction,focus_num,link,model,othermessage,price,time,title
63.11平米,单价54667元/平米,雍翠华府  布心,精装,南,15人关注,https://sz.lianjia.com/ershoufang/105103570566.html,2室1厅,近地铁 VR房源 房本满两年 随时看房,345,13天以前发布,房子业主诚心卖 房子朝南 采光好
45.12平米,单价56516元/平米,天越翔园  莲塘,简装,北,7人关注,https://sz.lianjia.com/ershoufang/105102087265.html,1室1厅,VR房源 房本满两年,255,,房源新  高楼层  通风采光佳 业主诚心出售
52.38平米,单价67774元/平米,长富花园  布心,简装,南,0人关注,https://sz.lianjia.com/ershoufang/105103621698.html,2室1厅,近地铁 VR房源 房本满五年,355,3天以前发布,诚心卖，看房方便，中间位置，看花园
45.96平米,单价36554元/平米,长丰苑  春风路,简装,东南 南,2人关注,https://sz.lianjia.com/ershoufang/105103483439.html,1室1厅,近地铁 VR房源 房本满五年 随时看房,168,29天以前发布,长丰苑 中高楼层 带阳台 采光视野好 业主急售
96.2平米,单价54574元/平米,仙桐御景  莲塘,简装,西南,11人关注,https://sz.lianjia.com/ershoufang/105102040322.html,3室2厅,VR房源 房本满五年,525,,西南朝向看别墅区，厅出阳台，大社区，居家舒适。
100.45平米,单价55252元/平米,华丽花园  螺岭,简装,东南,82人关注,https://sz.lianjia.com/ershoufang/105101037259.html,3室1厅,近地铁 VR房源 房本满五年,555,,华丽花园三房    螺岭150米 业主换房 诚心出售
53.13平米,单价53643元/平米,源兴居  洪湖,简装,东南,47人关注,https://sz.lianjia.com/ershoufang/105102999016.html,2室1厅,近地铁 VR房源 房本满两年 随时看房,285,,洪湖公园旁，朝南两房，采光好视野
53.06平米,单价44855元/平米,南塘物业小区  东门,精装,东南,20人关注,https://sz.lianjia.com/ershoufang/105101564206.html,2室1厅,近地铁 VR房源 房本满两年,238,,南塘物业 老街地铁口   看房子提前约
36.34平米,单价24767元/平米,承翰半山海  大鹏半岛,精装,西,14人关注,https://sz.lianjia.com/ershoufang/105103297226.html,1室1厅,,90,,深圳海景1房1厅带阳台，红本在手精装修
89平米,单价32023元/平米,深业东城上邸  坪山,,南,5人关注,https://sz.lianjia.com/ershoufang/105103147783.html,3室2厅,房本满五年,285,,深业东城上邸 3室2厅 285万
